"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000030079",888.096028659055,2.75216764530776,0.431959788310997,6.37135150026115,1.87369659734144e-10,2.11553580128083e-09
"ENSMUSG00000073079",304.892181027291,5.30398118769246,0.832885886087894,6.36819674374063,1.91263481104511e-10,2.15789541162935e-09
"ENSMUSG00000022389",227.94491390369,4.19054235280789,0.658514024236954,6.36363418024945,1.97035105509848e-10,2.22136236991281e-09
"ENSMUSG00000033542",268.633796364057,7.3667735484245,1.15821529399515,6.3604526607601,2.01160046855683e-10,2.26618432607597e-09
"ENSMUSG00000097357",839.953015386551,-10.5745841405216,1.66293279521542,-6.35899669003267,2.03075782772963e-10,2.28607030184597e-09
"ENSMUSG00000004263",411.451235345489,-2.35793406257526,0.370904850795554,-6.35724784272227,2.05400450283504e-10,2.30881660844211e-09
"ENSMUSG00000028064",557.171233527765,-3.6695356143444,0.577215530728354,-6.35730575321497,2.05323057856301e-10,2.30881660844211e-09
"ENSMUSG00000056692",2269.79165766142,-1.76227446147731,0.277401668354007,-6.35278969998255,2.1144470122088e-10,2.37499943250021e-09
"ENSMUSG00000047535",71.0304451557877,-11.4503355910412,1.80305068247391,-6.35053451483162,2.14568060562727e-10,2.40830049350006e-09
"ENSMUSG00000047977",93.1887257840598,-11.8315466184954,1.863646964816,-6.34859865729104,2.17285073548466e-10,2.43699492386042e-09
"ENSMUSG00000035953",525.025095681005,-2.4445237062342,0.385467086518492,-6.3417183768216,2.27216389938068e-10,2.54650044103284e-09
"ENSMUSG00000076563",71.030754848683,-11.4404107524741,1.80429421762667,-6.34065699524469,2.28787397423412e-10,2.56221638441884e-09
"ENSMUSG00000040809",11307.9587059847,-3.44758637212331,0.543810126957408,-6.33968769837441,2.30231371342638e-10,2.57648754989631e-09
"ENSMUSG00000036469",218.42267623914,-3.15139535805625,0.497191909203134,-6.33838825556735,2.32181141635293e-10,2.59639382685829e-09
"ENSMUSG00000096805",62.7541727015429,-11.2666735785479,1.77770542348551,-6.33776183033608,2.3312682416778e-10,2.60505073716843e-09
"ENSMUSG00000015755",3620.93723596961,-1.43694133561566,0.226879051432296,-6.33351262068577,2.39641695133562e-10,2.67588145757226e-09
"ENSMUSG00000027845",831.703627781745,-1.95532440873911,0.308779589066367,-6.33242765382023,2.41333456932634e-10,2.69196440856012e-09
"ENSMUSG00000103953",62.8065786737925,-11.2668390428281,1.77924752931723,-6.33236177495306,2.41436555015072e-10,2.69196440856012e-09
"ENSMUSG00000095497",62.7017667292933,-11.2665064326127,1.7798538346121,-6.33001778770679,2.4513293825471e-10,2.73117300098021e-09
"ENSMUSG00000032238",254.752402589905,7.2889394300879,1.15229256052663,6.32559792519759,2.52253870977539e-10,2.80845108846401e-09
"ENSMUSG00000049287",406.507936919065,-2.78705325346425,0.440628460433095,-6.32517756734289,2.52941545800178e-10,2.81404418646264e-09
"ENSMUSG00000026158",2604.72761118124,-1.41201891148055,0.223321573443908,-6.32280567302739,2.56856241280877e-10,2.85550430460571e-09
"ENSMUSG00000102917",175.222193528049,-7.23327440123994,1.14476125635998,-6.31858770643558,2.63964470789542e-10,2.9323807267081e-09
"ENSMUSG00000004655",4019.39125937933,-3.99029482971989,0.631639616462458,-6.31735997192167,2.66069334721589e-10,2.9536030095629e-09
"ENSMUSG00000084786",518.942754739539,-2.17360274373139,0.344122127551859,-6.31637017704952,2.67778194463567e-10,2.97040150556883e-09
"ENSMUSG00000050244",1059.93449495177,1.90831948760484,0.302214870043045,6.31444603415126,2.71130912374271e-10,3.00539710606984e-09
"ENSMUSG00000043535",2395.55683443768,1.82065825155451,0.288530772369265,6.31010077921397,2.78853825913965e-10,3.08874850498138e-09
"ENSMUSG00000029131",2520.07485379657,-1.89743364596688,0.30083860939909,-6.30714804112712,2.84223947283013e-10,3.14593648938763e-09
"ENSMUSG00000040522",310.052265405907,-4.45314421214729,0.706121360337157,-6.30648563020529,2.85442466915703e-10,3.15712258017615e-09
"ENSMUSG00000078238",63.9590455239406,-11.2909603535267,1.79068479501666,-6.30538684694738,2.87474961606539e-10,3.17728876779979e-09
"ENSMUSG00000063902",632.917121687554,3.3102010324616,0.525407475711257,6.30025491734868,2.97156522834755e-10,3.28190469510443e-09
"ENSMUSG00000079641",4465.0641045957,1.29660310681504,0.205826481071805,6.29949606126096,2.98614888928132e-10,3.29561460992922e-09
"ENSMUSG00000060279",579.686448142691,-2.09146488270039,0.332014168900148,-6.29932418134055,2.98946176464942e-10,3.29687482628657e-09
"ENSMUSG00000022553",1398.32857244095,-1.89025677254909,0.30012435352248,-6.29824521190515,3.01034033905702e-10,3.31749117481277e-09
"ENSMUSG00000015340",5464.16362759317,-2.51796489561031,0.399800988767758,-6.29804569361127,3.01421668220342e-10,3.31935420855265e-09
"ENSMUSG00000000682",1198.55145781105,-1.70072722370337,0.270061912438576,-6.29754565664712,3.02395308320421e-10,3.32766315373472e-09
"ENSMUSG00000039988",790.296299027285,-2.27641405492313,0.361533630082751,-6.2965485517961,3.04345983621949e-10,3.34670391548365e-09
"ENSMUSG00000000134",434.886591608908,-2.28030250374568,0.362246740503939,-6.29488756910122,3.07622744474072e-10,3.37548334298601e-09
"ENSMUSG00000055200",430.317935145365,-3.32941451054178,0.528908007484182,-6.29488391824235,3.07629984636681e-10,3.37548334298601e-09
"ENSMUSG00000087330",61.392236808844,-11.234666357808,1.78471271966342,-6.29494384952149,3.07511153597492e-10,3.37548334298601e-09
"ENSMUSG00000032120",207.969192520184,-3.25182750575798,0.516666996008153,-6.29385567663909,3.09675767990365e-10,3.39547740989291e-09
