"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000029007",1102.66633142421,2.21322315013788,0.321918453379128,9.84825773204905e-13,1.09333898340063e-11
"ENSMUSG00000032582",9604.18889872219,-1.50271449627355,0.215520535519001,1.0232991750246e-12,1.13524300648459e-11
"ENSMUSG00000027347",270.484533348908,-4.73666387648369,0.704138649093889,1.02814780510295e-12,1.1398107992987e-11
"ENSMUSG00000044162",532.25853598554,9.95695813619223,1.40315599242113,1.04646541227934e-12,1.15929327513846e-11
"ENSMUSG00000070392",1518.4170511181,-2.3739505686663,0.346460498199347,1.09060304044043e-12,1.20733164711257e-11
"ENSMUSG00000032028",27778.926849006,-7.4103190672942,1.11108267656112,1.1026123291408e-12,1.21975999817727e-11
"ENSMUSG00000040111",880.703106393204,2.52043208289777,0.368119243821722,1.13095013752712e-12,1.25022126195995e-11
"ENSMUSG00000021676",10388.6382378898,1.27125324065623,0.181589285785765,1.14848013244123e-12,1.26870020016736e-11
"ENSMUSG00000014503",229.583459084421,-5.40969124852039,0.809853784919485,1.15061068171553e-12,1.26993444854012e-11
"ENSMUSG00000017176",312.320168315679,7.59723312336765,1.12707576456912,1.15122690433514e-12,1.26993444854012e-11
"ENSMUSG00000078651",502.34130315688,-4.23925127704967,0.630685115656064,1.16920697622406e-12,1.28885637471035e-11
"ENSMUSG00000034621",4562.16632887852,-1.83259265518782,0.265327729738638,1.17121254747761e-12,1.29015476873028e-11
"ENSMUSG00000102351",3444.59817164145,-2.69974332814989,0.39655665972771,1.20699303242942e-12,1.32862997150264e-11
"ENSMUSG00000000903",195.024462688633,-12.4547744448069,3.34575034940254,1.28583314245982e-12,1.4144164567058e-11
"ENSMUSG00000014444",2120.18710213183,-2.00039917215952,0.291115183469853,1.29541472051007e-12,1.42395128692457e-11
"ENSMUSG00000041112",2743.574586503,2.27231620257427,0.333125358731879,1.37844950315538e-12,1.51415732245827e-11
"ENSMUSG00000033499",11162.8676693993,-1.8091971107489,0.263260739081133,1.5147889472344e-12,1.66274755778469e-11
"ENSMUSG00000032594",4929.98596994406,-1.76281151056168,0.256296614268493,1.5209087612066e-12,1.66711707882752e-11
"ENSMUSG00000052748",2668.69897370518,-1.70008242385264,0.246834602555296,1.5199205519693e-12,1.66711707882752e-11
"ENSMUSG00000042595",951.9545436248,2.65189820974021,0.390836497499302,1.54900526400855e-12,1.69672136683776e-11
"ENSMUSG00000022507",3600.7491186919,-1.83377002769645,0.2671039144471,1.55474943764371e-12,1.70181737953318e-11
"ENSMUSG00000034110",1070.65656736475,-3.17066444912361,0.470433851118787,1.59285820326165e-12,1.74230742556065e-11
"ENSMUSG00000020790",5448.68844740111,-1.43123395531461,0.206887080369602,1.60686993453574e-12,1.75640123910298e-11
